Time (s)	P1 (Pa)	P2 (Pa)	P3 (Pa)	P4 (Pa)	P5 (Pa)	P6 (Pa)	P7 (Pa)	P8 (Pa)		H1 (m)	H2 (m)	H3 (m)	H4 (m)
2.193E-05	-45.93333333	-29.4	-69.86666667	-54.66666667	-55.6	-45.93333333	-41.8	-51.93333333		0.000266667	0.000533333	0.0004	0.546666667
0.001028906	-29.4	-11.46666667	-52.86666667	-35.4	-28.46666667	-18.4	-14.26666667	-27.13333333		0.0002	0.000533333	0.0004	0.547666667
0.002010061	-8.733333333	11	-31.73333333	-10.13333333	3.666666667	12.4	15.13333333	2.266666667		0.0002	0.000533333	0.0004	0.548533333
0.003017037	11.93333333	32.13333333	-13.8	12.4	33.53333333	42.26666667	44.13333333	30.8		0.0002	0.000533333	0.0004	0.549266667
0.004024013	23.4	45.46666667	-5.066666667	26.66666667	57.86666667	66.6	67.53333333	55.6		0.0002	0.000533333	0.0004	0.549933333
0.005030988	24.8	49.13333333	-2.266666667	33.06666667	73.06666667	81.33333333	81.33333333	72.6		0.0002	0.000533333	0.0004	0.550466667
0.006012144	20.66666667	45.46666667	-3.666666667	32.6	78.13333333	86.4	86.4	81.33333333		0.0002	0.000533333	0.0004	0.550933333
0.00701912	13.33333333	38.13333333	-9.666666667	28.93333333	74.86666667	84.06666667	83.6	81.33333333		0.0002	0.000533333	0.0004	0.551133333
0.008026096	0.933333333	26.2	-20.66666667	17.93333333	60.2	69.4	68.46666667	68		0.0002	0.000533333	0.0004	0.551133333
0.009033071	-13.8	11	-33.53333333	1.4	33.53333333	43.66666667	41.8	44.13333333		0.0002	0.000533333	0.000333333	0.551
0.010014227	-33.06666667	-9.666666667	-51.93333333	-19.26666667	0	11	8.733333333	12.4		0.0002	0.000533333	0.0004	0.550666667
0.011021203	-55.6	-34.46666667	-74.86666667	-44.13333333	-35.86666667	-22.53333333	-24.33333333	-18.4		0.0002	0.000533333	0.0004	0.5502
0.012028178	-66.13333333	-46.86666667	-85.93333333	-58.33333333	-59.26666667	-46.86666667	-48.26666667	-41.8		0.0002	0.000466667	0.0004	0.5494
0.013009334	-62.93333333	-45.46666667	-82.26666667	-60.66666667	-71.66666667	-58.33333333	-60.66666667	-56.53333333		0.0002	0.000466667	0.0004	0.548466667
0.01401631	-57.86666667	-41.8	-77.66666667	-59.26666667	-75.33333333	-61.6	-60.66666667	-60.2		0.000133333	0.000533333	0.0004	0.547333333
0.015023285	-53.26666667	-38.6	-74	-57.86666667	-69.4	-55.6	-53.26666667	-56.53333333		0.000133333	0.000466667	0.0004	0.546
0.016030261	-50.53333333	-36.73333333	-71.2	-56.53333333	-60.2	-46.86666667	-42.26666667	-50.06666667		0.0002	0.000466667	0.0004	0.544733333
0.017011417	-45.46666667	-29.4	-65.26666667	-51.46666667	-46.86666667	-34.93333333	-29.4	-39.53333333		0.0002	0.000466667	0.0004	0.543666667
0.018018393	-36.73333333	-18.4	-57.86666667	-41.33333333	-29.4	-21.13333333	-15.13333333	-28.46666667		0.000133333	0.000466667	0.0004	0.542866667
0.019025368	-30.8	-9.666666667	-52.86666667	-31.73333333	-11	-4.6	0	-13.8		0.000133333	0.000466667	0.0004	0.5426
0.020032344	-24.8	-2.733333333	-48.26666667	-22.53333333	6	13.8	16.53333333	2.733333333		0.000133333	0.000533333	0.0004	0.542733333
0.0210135	-21.13333333	2.266666667	-46.4	-16.06666667	19.73333333	29.4	31.73333333	19.73333333		0.000133333	0.000533333	0.0004	0.543133333
0.022020475	-16.06666667	6.4	-43.2	-8.733333333	34.46666667	45.46666667	47.33333333	39.06666667		0.000133333	0.000466667	0.0004	0.543866667
0.023027451	-5.066666667	15.13333333	-33.53333333	3.666666667	46.86666667	58.33333333	59.26666667	53.73333333		0.000133333	0.000466667	0.0004	0.544866667
0.024034427	4.6	24.33333333	-23.4	14.26666667	52.86666667	62	62	59.26666667		0.0002	0.000466667	0.0004	0.545866667
0.025015582	8.733333333	28.46666667	-18.4	18.86666667	51.93333333	59.73333333	59.73333333	60.2		0.0002	0.000466667	0.0004	0.546733333
0.026022558	8.266666667	28.46666667	-18.4	17.93333333	45.93333333	54.66666667	54.2	55.6		0.000133333	0.000466667	0.0004	0.5476
0.027029534	1.4	21.13333333	-22.06666667	12.4	33.53333333	43.2	42.26666667	45.46666667		0.000133333	0.000533333	0.0004	0.548266667
0.02801069	-7.333333333	11.46666667	-28.46666667	3.666666667	16.06666667	24.8	24.33333333	27.13333333		0.0002	0.000466667	0.0004	0.548733333
0.029017665	-19.73333333	0.933333333	-39.06666667	-8.733333333	-5.066666667	2.266666667	1.4	2.733333333		0.0002	0.000466667	0.0004	0.549
0.030024641	-33.06666667	-11.46666667	-52.86666667	-23.86666667	-25.73333333	-20.66666667	-21.6	-22.06666667		0.0002	0.000466667	0.0004	0.549
0.031031617	-48.26666667	-27.13333333	-68.93333333	-41.33333333	-44.6	-39.53333333	-40.4	-41.8		0.000133333	0.000466667	0.0004	0.548666667
0.032012772	-62.46666667	-43.2	-83.13333333	-57.86666667	-57.86666667	-51.93333333	-51	-55.13333333		0.000133333	0.000466667	0.0004	0.5482
0.033019748	-70.26666667	-51.93333333	-90.06666667	-68	-62	-54.66666667	-53.26666667	-57.86666667		0.000133333	0.000533333	0.0004	0.547533333
0.034026724	-71.2	-54.2	-93.26666667	-72.13333333	-60.2	-50.53333333	-47.33333333	-53.73333333		0.000133333	0.000533333	0.0004	0.546666667
0.035033699	-62.93333333	-46.86666667	-85.93333333	-68	-50.53333333	-40.86666667	-38.13333333	-45.46666667		0.000133333	0.000466667	0.0004	0.545666667
0.036014855	-51.93333333	-35.86666667	-74	-58.33333333	-37.2	-30.8	-26.66666667	-35.86666667		0.0002	0.000533333	0.0004	0.544533333
0.037021831	-45.93333333	-29.4	-69.86666667	-51.93333333	-23.4	-17.46666667	-12.4	-22.06666667		0.0002	0.000533333	0.0004	0.5434
0.038028807	-39.06666667	-19.73333333	-62.93333333	-41.8	-8.733333333	-1.4	4.133333333	-6.4		0.000133333	0.000533333	0.0004	0.542466667
0.039009962	-27.13333333	-6	-51.93333333	-28	2.733333333	11	17.46666667	6.4		0.000133333	0.000533333	0.0004	0.541666667
0.040016938	-15.13333333	8.266666667	-39.53333333	-12.4	13.8	22.53333333	28	18.4		0.0002	0.000533333	0.0004	0.541133333
0.041023914	-2.733333333	21.13333333	-28	3.666666667	28.46666667	37.2	40.86666667	33.06666667		0.0002	0.000466667	0.0004	0.5408
0.042030889	2.733333333	27.6	-22.06666667	13.8	35.86666667	46.86666667	49.6	44.13333333		0.0002	0.000466667	0.0004	0.5406
0.043012045	3.666666667	30.8	-19.73333333	18.86666667	34.93333333	48.26666667	50.53333333	46.86666667		0.000133333	0.000533333	0.0004	0.540666667
0.044019021	2.733333333	29.86666667	-18.4	20.2	33.53333333	46.86666667	48.26666667	46.86666667		0.000133333	0.000533333	0.0004	0.540866667
0.045025996	0	26.2	-20.66666667	17.46666667	32.13333333	45.93333333	46.86666667	46.86666667		0.000133333	0.000533333	0.0004	0.540866667
0.046032972	-2.266666667	22.53333333	-23	14.26666667	29.86666667	43.2	42.26666667	42.73333333		0.0002	0.000533333	0.0004	0.541
0.047014128	-10.13333333	14.73333333	-29.86666667	6	18.4	29.4	28	28		0.0002	0.000533333	0.0004	0.541133333
0.048021104	-26.2	-2.266666667	-46.86666667	-12.86666667	-2.733333333	6.4	5.066666667	4.6		0.0002	0.000533333	0.0004	0.541266667
0.049028079	-40.86666667	-18.86666667	-62.93333333	-31.73333333	-20.66666667	-12.4	-14.26666667	-17.46666667		0.0002	0.000466667	0.0004	0.541466667
0.050009235	-51.93333333	-32.13333333	-74.86666667	-46.86666667	-33.53333333	-27.13333333	-28	-33.06666667		0.0002	0.000533333	0.0004	0.541666667
0.051016211	-58.8	-40.4	-83.6	-58.33333333	-45.46666667	-38.6	-39.53333333	-44.13333333		0.0002	0.000533333	0.0004	0.541866667
0.052023186	-57.86666667	-40.86666667	-84.53333333	-62.93333333	-51.46666667	-44.6	-44.6	-50.53333333		0.0002	0.000533333	0.0004	0.541933333
0.053030162	-52.86666667	-38.13333333	-79.93333333	-61.6	-49.6	-42.26666667	-40.4	-48.26666667		0.0002	0.000533333	0.0004	0.542333333
0.054011318	-49.13333333	-34.46666667	-75.8	-57.86666667	-44.13333333	-35.86666667	-31.73333333	-40.86666667		0.0002	0.000533333	0.0004	0.542733333
0.055018293	-45.46666667	-29.4	-71.2	-53.26666667	-35.86666667	-27.6	-22.53333333	-32.13333333		0.0002	0.000533333	0.0004	0.543
0.056025269	-36.73333333	-18.4	-62.46666667	-44.13333333	-24.8	-16.06666667	-11	-19.73333333		0.0002	0.000533333	0.0004	0.543133333
