Time(s)	R-SPH	d-SPH	ISPH	FVPM
0	0	0	0	0
0.2	-1	-1	-1	-1
0.4	-4.8	-4.8	-4.8	-4.8
0.6	-11	-12	-11	-11
0.8	-19	-20	-19	-19
1	-28	-31	-28	-28
1.2	-38	-43	-40	-39
1.4	-50	-55	-52	-51
1.6	-62	-68	-64	-63
1.8	-74	-80	-76	-74
2	-83.5	-89	-87	-83.5
2.2	-90.5	-94	-93	-90.5
2.4	-94	-96.5	-96	-94
2.6	-97	-97.2	-97	-97
2.8	-98.5	-97.5	-98.5	-98.5
3	-99.5	-97.4	-98	-100
3.2	-100	-97.4	-98	-100.5
3.4	-99.5	-97.4	-98	-100.6
3.6	-98.5	-97.3	-98	-100.5
3.8	-97.5	-98	-98	-100
4	-96	-99	-99	-99
