Time(s)	R-SPH	d-SPH	ISPH	FVPM
0	0.25	0.25	0.25	0.25
0.2	0.25	0.25	0.25	0.25
0.4	0.25	0.25	0.25	0.25
0.6	0.255	0.25	0.253	0.253
0.8	0.257	0.253	0.254	0.255
1	0.258	0.252	0.255	0.256
1.2	0.2585	0.251	0.255	0.256
1.4	0.259	0.248	0.255	0.256
1.6	0.2585	0.243	0.252	0.256
1.8	0.258	0.238	0.248	0.258
2	0.257	0.23	0.24	0.257
2.2	0.249	0.215	0.23	0.245
2.4	0.23	0.192	0.21	0.226
2.6	0.208	0.168	0.187	0.204
2.8	0.183	0.144	0.162	0.177
3	0.158	0.12	0.138	0.152
3.2	0.13	0.094	0.113	0.122
3.4	0.105	0.072	0.09	0.09
3.6	0.075	0.051	0.065	0.058
3.8	0.05	0.033	0.046	0.027
4	0.028	0.022	0.027	-0.01
