Time(s)	R-SPH	d-SPH	ISPH	FVPM
0	0	0	0	0
0.2	-0.01	-0.01	-0.01	-0.01
0.4	-0.05	-0.05	-0.05	-0.05
0.6	-0.1	-0.1	-0.1	-0.1
0.8	-0.18	-0.18	-0.18	-0.18
1	-0.27	-0.27	-0.27	-0.27
1.2	-0.36	-0.38	-0.36	-0.36
1.4	-0.47	-0.5	-0.47	-0.47
1.6	-0.6	-0.65	-0.6	-0.6
1.8	-0.73	-0.8	-0.75	-0.75
2	-0.87	-0.95	-0.9	-0.9
2.2	-1.03	-1.13	-1.07	-1.07
2.4	-1.18	-1.3	-1.22	-1.21
2.6	-1.33	-1.47	-1.38	-1.37
2.8	-1.48	-1.64	-1.53	-1.52
3	-1.63	-1.82	-1.69	-1.67
3.2	-1.78	-1.99	-1.85	-1.84
3.4	-1.93	-2.17	-2.03	-2
3.6	-2.1	-2.36	-2.19	-2.17
3.8	-2.25	-2.53	-2.36	-2.35
4	-2.42	-2.7	-2.53	-2.5
